Name,Age,Gender,Educational Background,Physical Traits,Personality Traits,Creative Expression,Problem Solving,LeaderShip and Managment,Communication ,Helping Others,Hard Skills,Soft Skills,Preffred Work mode,Comfortable with Technology (1-5),Stress Tolerance (1-5),Open to Relocation (Yes/No),Preferred Work Environment,Certifications (Yes/No),Predicted Career,Predicted Degree,Predicted University,
Alice,17,Female,Undergraduate,Active,"Patient, Assertive, Detail-Oriented",Design,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Data Analysis,Leadership,Remote,3,4,Yes,Outdoor,No,Journalist,BA Journalism,FAST-NUCES,
Hannah,16,Other,Matric,Moderately Active,"Assertive, Detail-Oriented, Empathetic",Music,Programming,Finance  ,Journalism  ,Education,Data Analysis,Communication,Hybrid,4,1,Yes,Outdoor,No,Graphic Designer,BA Graphic Design,COMSATS,
George,21,Other,FSc,Moderately Active,"Adventurous, Creative, Empathetic",Music,Physics,Marketing and Branding  ,Public Relations  ,Social Work,Data Analysis,Teamwork,Hybrid,1,1,No,Indoor,No,Data Scientist,BSc Data Science,University of the Punjab,
Hannah,18,Other,Matric,Moderately Active,"Empathetic, Curious, Organized",Music,Programming,Business  ,Social Media Management  ,Non-profit Work,Graphic Design,Problem-Solving,Hybrid,2,4,No,Outdoor,No,Psychologist,BSc Psychology,LUMS,
Ivan,22,Other,Matric,Active,"Organized, Detail-Oriented, Curious",Writing,Mathematics,Team Leadership  ,Broadcasting  ,Social Work,Graphic Design,Communication,Remote,3,1,No,No preference,No,Data Scientist,BSc Data Science,University of the Punjab,
Fiona,20,Other,Matric,Moderately Active,"Empathetic, Creative, Organized",Design,Physics,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Data Analysis,Problem-Solving,Remote,4,2,No,Indoor,Yes,Photographer,Diploma Photography,QAU Islamabad,
Charlie,17,Female,Undergraduate,Sedentary,"Curious, Adventurous, Assertive",Writing,Mathematics,Finance  ,Journalism  ,Non-profit Work,Graphic Design,Problem-Solving,Hybrid,1,5,Yes,Indoor,No,Teacher,BEd,UET Lahore,
Alice,18,Other,Matric,Moderately Active,"Creative, Empathetic, Adventurous",Music,Physics,Marketing and Branding  ,Public Relations  ,Healthcare,Project Management,Communication,Hybrid,1,4,No,Indoor,No,Nurse,BSc Nursing,NUST,
Julia,20,Female,Undergraduate,Active,"Empathetic, Detail-Oriented, Patient",Music,Data Analysis,Business  ,Social Media Management  ,Social Work,Data Analysis,Teamwork,Remote,3,2,No,Outdoor,Yes,Photographer,Diploma Photography,FAST-NUCES,
Ethan,16,Female,Diploma,Sedentary,"Assertive, Practical, Curious",Music,Data Analysis,Team Leadership  ,Broadcasting  ,Counseling,Project Management,Teamwork,Remote,5,2,Yes,No preference,Yes,Software Engineer,BSc Computer Science,University of the Punjab,
Bob,18,Female,Matric,Sedentary,"Detail-Oriented, Organized, Empathetic",Design,Data Analysis,Organizational Strategy  ,Digital Content Creation  ,Social Work,Writing,Teamwork,On-site,2,2,Yes,No preference,Yes,Software Engineer,BSc Computer Science,IBA Karachi,
Charlie,21,Other,Matric,Sedentary,"Assertive, Patient, Creative",Music,Physics,Finance  ,Journalism  ,Education,Graphic Design,Problem-Solving,Remote,4,2,No,Outdoor,Yes,Psychologist,BSc Psychology,Aga Khan University,
Bob,17,Female,Matric,Moderately Active,"Curious, Practical, Organized",Music,Mathematics,Marketing and Branding  ,Public Relations  ,Non-profit Work,Programming,Communication,On-site,4,5,Yes,No preference,Yes,Photographer,Diploma Photography,QAU Islamabad,
Ivan,16,Other,FSc,Active,"Detail-Oriented, Organized, Assertive",Photography,Mathematics,Business  ,Social Media Management  ,Education,Project Management,Teamwork,Remote,3,5,No,No preference,Yes,Graphic Designer,BA Graphic Design,University of the Punjab,
Julia,17,Other,Matric,Active,"Practical, Curious, Detail-Oriented",Design,Physics,Team Leadership  ,Broadcasting  ,Counseling,Graphic Design,Leadership,On-site,3,1,No,Indoor,No,Graphic Designer,BA Graphic Design,UET Lahore,
Bob,17,Male,Undergraduate,Moderately Active,"Creative, Adventurous, Assertive",Photography,Physics,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Graphic Design,Teamwork,Hybrid,2,1,No,Indoor,Yes,Photographer,Diploma Photography,COMSATS,
Hannah,17,Other,Undergraduate,Moderately Active,"Curious, Practical, Analytical",Music,Data Analysis,Finance  ,Journalism  ,Healthcare,Writing,Problem-Solving,Hybrid,3,4,No,No preference,No,Social Worker,BA Social Work,University of the Punjab,
Charlie,21,Male,Matric,Moderately Active,"Patient, Adventurous, Assertive",Design,Programming,Marketing and Branding  ,Public Relations  ,Social Work,Project Management,Problem-Solving,On-site,3,5,Yes,Outdoor,Yes,Nurse,BSc Nursing,University of the Punjab,
Charlie,19,Female,Diploma,Sedentary,"Creative, Assertive, Analytical",Writing,Engineering,Business  ,Social Media Management  ,Education,Graphic Design,Leadership,Remote,4,1,No,Outdoor,No,Mechanical Engineer,BEng Mechanical,GIKI,
Charlie,18,Male,Matric,Sedentary,"Empathetic, Organized, Adventurous",Music,Physics,Team Leadership  ,Broadcasting  ,Education,Project Management,Leadership,On-site,3,4,Yes,Indoor,Yes,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Hannah,18,Male,Undergraduate,Sedentary,"Organized, Analytical, Creative",Photography,Physics,Organizational Strategy  ,Digital Content Creation  ,Education,Writing,Teamwork,On-site,3,1,No,Indoor,No,Nurse,BSc Nursing,GIKI,
Ivan,20,Female,FSc,Active,"Adventurous, Analytical, Assertive",Design,Engineering,Finance  ,Journalism  ,Education,Graphic Design,Teamwork,On-site,3,2,No,Outdoor,Yes,Data Scientist,BSc Data Science,COMSATS,
Julia,21,Other,FSc,Moderately Active,"Creative, Curious, Organized",Writing,Programming,Marketing and Branding  ,Public Relations  ,Education,Writing,Problem-Solving,Remote,5,5,No,Outdoor,No,Software Engineer,BSc Computer Science,GIKI,
George,20,Male,Matric,Sedentary,"Assertive, Curious, Patient",Photography,Data Analysis,Business  ,Social Media Management  ,Social Work,Programming,Communication,Remote,4,4,No,Outdoor,Yes,Journalist,BA Journalism,Aga Khan University,
Alice,21,Other,Undergraduate,Active,"Creative, Curious, Practical",Writing,Engineering,Team Leadership  ,Broadcasting  ,Social Work,Writing,Teamwork,Remote,3,1,Yes,No preference,Yes,Teacher,BEd,QAU Islamabad,
Alice,21,Female,FSc,Active,"Curious, Adventurous, Assertive",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Social Work,Writing,Communication,On-site,4,4,Yes,Outdoor,No,Photographer,Diploma Photography,GIKI,
Bob,19,Other,Matric,Active,"Patient, Analytical, Detail-Oriented",Music,Mathematics,Finance  ,Journalism  ,Counseling,Writing,Leadership,Hybrid,4,2,Yes,No preference,No,Social Worker,BA Social Work,FAST-NUCES,
Julia,22,Other,FSc,Active,"Practical, Analytical, Organized",Writing,Physics,Marketing and Branding  ,Public Relations  ,Social Work,Programming,Leadership,Hybrid,2,5,No,No preference,No,Mechanical Engineer,BEng Mechanical,NUST,
Diana,21,Other,Matric,Sedentary,"Practical, Patient, Assertive",Photography,Engineering,Business  ,Social Media Management  ,Healthcare,Graphic Design,Leadership,Remote,3,4,Yes,Outdoor,Yes,Graphic Designer,BA Graphic Design,FAST-NUCES,
Ivan,19,Male,Undergraduate,Moderately Active,"Analytical, Practical, Empathetic",Design,Engineering,Team Leadership  ,Broadcasting  ,Education,Graphic Design,Teamwork,Hybrid,1,5,No,Outdoor,No,Mechanical Engineer,BEng Mechanical,University of the Punjab,
Alice,18,Female,Matric,Moderately Active,"Assertive, Empathetic, Creative",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Graphic Design,Teamwork,Hybrid,4,3,No,No preference,Yes,Journalist,BA Journalism,UET Lahore,
Ivan,22,Male,Undergraduate,Moderately Active,"Empathetic, Analytical, Adventurous",Design,Engineering,Finance  ,Journalism  ,Healthcare,Writing,Problem-Solving,Remote,3,1,No,No preference,No,Data Scientist,BSc Data Science,GIKI,
Julia,16,Female,Matric,Moderately Active,"Analytical, Creative, Empathetic",Design,Mathematics,Marketing and Branding  ,Public Relations  ,Non-profit Work,Programming,Problem-Solving,Hybrid,2,1,No,Outdoor,No,Psychologist,BSc Psychology,COMSATS,
Fiona,17,Other,Undergraduate,Moderately Active,"Adventurous, Analytical, Organized",Design,Engineering,Business  ,Social Media Management  ,Healthcare,Writing,Communication,Hybrid,3,3,Yes,Outdoor,Yes,Teacher,BEd,NUST,
Diana,18,Other,Diploma,Sedentary,"Detail-Oriented, Empathetic, Curious",Writing,Programming,Team Leadership  ,Broadcasting  ,Social Work,Writing,Communication,Hybrid,3,2,No,Outdoor,Yes,Teacher,BEd,FAST-NUCES,
Diana,20,Other,Matric,Sedentary,"Creative, Curious, Analytical",Design,Physics,Organizational Strategy  ,Digital Content Creation  ,Social Work,Project Management,Adaptability,Remote,3,1,No,Outdoor,No,Teacher,BEd,University of the Punjab,
Ivan,16,Male,Matric,Sedentary,"Detail-Oriented, Adventurous, Practical",Music,Data Analysis,Finance  ,Journalism  ,Social Work,Writing,Adaptability,Remote,3,5,Yes,Outdoor,No,Psychologist,BSc Psychology,GIKI,
Fiona,16,Other,Matric,Moderately Active,"Organized, Empathetic, Patient",Music,Physics,Marketing and Branding  ,Public Relations  ,Healthcare,Data Analysis,Problem-Solving,Hybrid,2,3,No,Outdoor,Yes,Journalist,BA Journalism,Aga Khan University,
Alice,19,Other,Diploma,Sedentary,"Assertive, Adventurous, Detail-Oriented",Design,Physics,Business  ,Social Media Management  ,Counseling,Programming,Leadership,Remote,1,2,No,No preference,No,Nurse,BSc Nursing,UET Lahore,
Fiona,18,Male,Undergraduate,Sedentary,"Adventurous, Assertive, Curious",Design,Programming,Team Leadership  ,Broadcasting  ,Counseling,Programming,Problem-Solving,Hybrid,1,2,Yes,No preference,Yes,Software Engineer,BSc Computer Science,Aga Khan University,
Ivan,20,Male,Undergraduate,Sedentary,"Organized, Analytical, Creative",Photography,Programming,Organizational Strategy  ,Digital Content Creation  ,Counseling,Data Analysis,Communication,Hybrid,4,2,Yes,Outdoor,No,Social Worker,BA Social Work,University of the Punjab,
Hannah,17,Other,Undergraduate,Active,"Creative, Patient, Curious",Design,Data Analysis,Finance  ,Journalism  ,Social Work,Writing,Teamwork,On-site,5,4,No,Indoor,Yes,Teacher,BEd,NUST,
Alice,18,Male,Diploma,Moderately Active,"Analytical, Organized, Curious",Music,Physics,Marketing and Branding  ,Public Relations  ,Counseling,Data Analysis,Adaptability,On-site,3,3,Yes,No preference,Yes,Social Worker,BA Social Work,University of the Punjab,
George,20,Female,Undergraduate,Sedentary,"Organized, Analytical, Empathetic",Writing,Programming,Business  ,Social Media Management  ,Social Work,Project Management,Teamwork,Remote,2,5,Yes,Outdoor,No,Journalist,BA Journalism,FAST-NUCES,
George,18,Other,Matric,Sedentary,"Adventurous, Detail-Oriented, Organized",Music,Engineering,Team Leadership  ,Broadcasting  ,Counseling,Project Management,Teamwork,On-site,1,1,Yes,Indoor,Yes,Social Worker,BA Social Work,COMSATS,
Ethan,21,Other,Diploma,Moderately Active,"Practical, Creative, Curious",Writing,Programming,Organizational Strategy  ,Digital Content Creation  ,Counseling,Writing,Teamwork,Remote,5,2,No,Outdoor,No,Data Scientist,BSc Data Science,QAU Islamabad,
Charlie,22,Male,FSc,Sedentary,"Empathetic, Adventurous, Assertive",Design,Engineering,Finance  ,Journalism  ,Counseling,Graphic Design,Teamwork,Remote,1,4,No,Indoor,Yes,Software Engineer,BSc Computer Science,GIKI,
Hannah,18,Male,FSc,Active,"Empathetic, Curious, Detail-Oriented",Music,Engineering,Marketing and Branding  ,Public Relations  ,Education,Graphic Design,Communication,On-site,5,4,Yes,Outdoor,No,Software Engineer,BSc Computer Science,University of the Punjab,
Hannah,17,Male,Diploma,Moderately Active,"Detail-Oriented, Assertive, Curious",Photography,Engineering,Business  ,Social Media Management  ,Non-profit Work,Programming,Problem-Solving,Hybrid,1,2,No,Indoor,No,Journalist,BA Journalism,FAST-NUCES,
Julia,16,Female,Undergraduate,Sedentary,"Creative, Curious, Empathetic",Music,Engineering,Team Leadership  ,Broadcasting  ,Social Work,Graphic Design,Adaptability,On-site,5,1,Yes,Outdoor,No,Software Engineer,BSc Computer Science,University of the Punjab,
Bob,18,Female,FSc,Sedentary,"Organized, Curious, Analytical",Writing,Mathematics,Organizational Strategy  ,Digital Content Creation  ,Non-profit Work,Project Management,Problem-Solving,On-site,5,4,No,No preference,No,Journalist,BA Journalism,NUST,
Ivan,18,Male,Diploma,Sedentary,"Practical, Adventurous, Patient",Writing,Physics,Finance  ,Journalism  ,Non-profit Work,Writing,Communication,On-site,5,2,Yes,Outdoor,Yes,Data Scientist,BSc Data Science,NUST,
Ivan,16,Other,Diploma,Active,"Organized, Analytical, Assertive",Design,Engineering,Marketing and Branding  ,Public Relations  ,Healthcare,Project Management,Communication,On-site,5,1,No,No preference,Yes,Social Worker,BA Social Work,LUMS,
Ethan,17,Male,FSc,Active,"Detail-Oriented, Assertive, Analytical",Music,Engineering,Business  ,Social Media Management  ,Education,Writing,Adaptability,On-site,2,1,Yes,No preference,Yes,Social Worker,BA Social Work,NUST,
Fiona,16,Female,Undergraduate,Active,"Practical, Organized, Curious",Design,Programming,Team Leadership  ,Broadcasting  ,Education,Graphic Design,Communication,Hybrid,3,2,No,Outdoor,Yes,Mechanical Engineer,BEng Mechanical,LUMS,
Alice,17,Other,Undergraduate,Sedentary,"Empathetic, Analytical, Adventurous",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Education,Project Management,Leadership,Hybrid,3,2,Yes,Indoor,Yes,Mechanical Engineer,BEng Mechanical,FAST-NUCES,
Hannah,16,Male,Diploma,Moderately Active,"Creative, Curious, Assertive",Writing,Engineering,Finance  ,Journalism  ,Education,Writing,Teamwork,Remote,1,3,No,Indoor,Yes,Psychologist,BSc Psychology,GIKI,
Alice,18,Female,Diploma,Sedentary,"Detail-Oriented, Creative, Assertive",Music,Physics,Marketing and Branding  ,Public Relations  ,Education,Programming,Adaptability,Remote,2,4,Yes,No preference,No,Mechanical Engineer,BEng Mechanical,Aga Khan University,
Bob,20,Male,Diploma,Sedentary,"Adventurous, Empathetic, Assertive",Writing,Physics,Business  ,Social Media Management  ,Non-profit Work,Graphic Design,Teamwork,On-site,4,2,Yes,Outdoor,No,Journalist,BA Journalism,FAST-NUCES,
Charlie,19,Female,Matric,Active,"Adventurous, Creative, Assertive",Design,Engineering,Team Leadership  ,Broadcasting  ,Counseling,Writing,Communication,Hybrid,4,5,Yes,No preference,No,Social Worker,BA Social Work,UET Lahore,
Charlie,21,Female,Diploma,Active,"Curious, Analytical, Adventurous",Music,Physics,Organizational Strategy  ,Digital Content Creation  ,Counseling,Programming,Communication,On-site,4,4,No,Outdoor,No,Journalist,BA Journalism,Aga Khan University,
Alice,19,Male,Diploma,Moderately Active,"Analytical, Empathetic, Curious",Photography,Programming,Finance  ,Journalism  ,Healthcare,Programming,Leadership,On-site,2,4,No,No preference,No,Mechanical Engineer,BEng Mechanical,FAST-NUCES,
Ivan,18,Male,Undergraduate,Moderately Active,"Creative, Practical, Adventurous",Writing,Engineering,Marketing and Branding  ,Public Relations  ,Healthcare,Programming,Adaptability,Hybrid,3,1,No,Indoor,Yes,Psychologist,BSc Psychology,University of the Punjab,
George,18,Male,FSc,Active,"Patient, Detail-Oriented, Organized",Music,Data Analysis,Business  ,Social Media Management  ,Social Work,Data Analysis,Leadership,Hybrid,5,1,No,Indoor,No,Nurse,BSc Nursing,UET Lahore,
Julia,17,Male,Diploma,Moderately Active,"Organized, Patient, Curious",Writing,Physics,Team Leadership  ,Broadcasting  ,Non-profit Work,Graphic Design,Adaptability,On-site,3,4,Yes,Indoor,Yes,Nurse,BSc Nursing,IBA Karachi,
Diana,16,Female,FSc,Active,"Patient, Detail-Oriented, Curious",Design,Physics,Organizational Strategy  ,Digital Content Creation  ,Counseling,Graphic Design,Teamwork,Hybrid,2,4,No,Indoor,No,Social Worker,BA Social Work,IBA Karachi,
Julia,19,Male,Undergraduate,Sedentary,"Adventurous, Patient, Analytical",Writing,Data Analysis,Finance  ,Journalism  ,Education,Project Management,Teamwork,Remote,2,1,Yes,No preference,Yes,Teacher,BEd,Aga Khan University,
Diana,22,Female,Diploma,Active,"Adventurous, Analytical, Curious",Music,Programming,Marketing and Branding  ,Public Relations  ,Counseling,Graphic Design,Adaptability,On-site,4,1,Yes,No preference,Yes,Psychologist,BSc Psychology,UET Lahore,
Ethan,20,Male,Matric,Moderately Active,"Organized, Analytical, Detail-Oriented",Writing,Programming,Business  ,Social Media Management  ,Education,Writing,Leadership,Hybrid,3,4,Yes,No preference,No,Psychologist,BSc Psychology,University of the Punjab,
Alice,20,Female,FSc,Moderately Active,"Organized, Empathetic, Adventurous",Writing,Data Analysis,Team Leadership  ,Broadcasting  ,Counseling,Project Management,Problem-Solving,Remote,3,1,Yes,No preference,Yes,Teacher,BEd,IBA Karachi,
Bob,16,Other,Diploma,Moderately Active,"Detail-Oriented, Curious, Creative",Music,Programming,Organizational Strategy  ,Digital Content Creation  ,Healthcare,Data Analysis,Communication,Hybrid,3,3,Yes,Indoor,No,Data Scientist,BSc Data Science,Aga Khan University,
Charlie,17,Male,FSc,Moderately Active,"Practical, Empathetic, Curious",Design,Physics,Finance  ,Journalism  ,Education,Programming,Communication,Hybrid,4,1,No,Outdoor,No,Mechanical Engineer,BEng Mechanical,QAU Islamabad,
Fiona,18,Other,Matric,Active,"Assertive, Empathetic, Detail-Oriented",Writing,Programming,Marketing and Branding  ,Public Relations  ,Counseling,Writing,Problem-Solving,Hybrid,1,4,No,Indoor,No,Data Scientist,BSc Data Science,NUST,
Ethan,21,Female,Undergraduate,Moderately Active,"Patient, Curious, Practical",Writing,Data Analysis,Business  ,Social Media Management  ,Social Work,Data Analysis,Adaptability,Hybrid,3,3,Yes,Indoor,Yes,Psychologist,BSc Psychology,NUST,
Ethan,18,Male,Matric,Moderately Active,"Curious, Organized, Practical",Writing,Physics,Team Leadership  ,Broadcasting  ,Counseling,Writing,Leadership,Hybrid,4,4,Yes,Indoor,Yes,Graphic Designer,BA Graphic Design,UET Lahore,
Diana,19,Other,Diploma,Sedentary,"Analytical, Adventurous, Curious",Design,Engineering,Organizational Strategy  ,Digital Content Creation  ,Counseling,Programming,Communication,On-site,3,2,Yes,Outdoor,No,Photographer,Diploma Photography,Aga Khan University,
